781.7,217,1373.1,31.6,240.2,1024.8,4.7,46.5,532.4,11.9,313.2,623.6,3535.6,5395.2,0.6,1348.3,8609.2,9275.9,9636.9,41125,8.1836e+05,1.5316e+05,1.2169e+05,64766,141.3,8605.9,6638,2426.1,3807.1,11.9,7.8,978.6,5448.9,2611.4,4002.2,5.6,6312.7,5.5,44.8,1.1531e+07,7.7807e+05,24213,32.9,201.4,19.8,2480.4,4.576e+05,6.0529e+06,4671.1,2.3474e+05,1.0694e+07,1192.7,14.6,63950,58.8,142.1,27491,17.2,81.3,414.7,366.9,215.6,3.6,2.9,8068.3,71.3,117,14.2,32118,4234.4,0
41.1,47,2664.4,6.7,197.6,1163.1,13.4,374.5,777.2,5.6,334.2,1995.8,6456.6,18292,16,6027.3,10479,31242,5356,76612,1.2573e+06,1.9108e+05,1.1985e+05,52290,68,18821,9525.2,5082.5,9790.6,250.3,30.5,1811.8,3241.9,1852.3,11451,8.9,1138.8,17.8,168.8,4.1403e+06,8.2156e+05,4124.1,77,251.7,24,5499.6,3.8047e+06,5.2028e+06,6765.3,1.9296e+05,2.1997e+07,1988,14.8,1.48e+05,60.2,185.4,26895,17.9,72.1,512.2,14400,166.5,2.9,3.1,5928.3,82.5,34.9,3.6,24931,2091.6,0
34.1,406.5,1512.3,2,242.3,1871.2,5.2,10.8,303.7,4.8,271.3,3270.4,3660.7,24433,25.4,4382.8,8970.9,7411,4084.5,84848,1.875e+06,2.1046e+05,54392,1.2785e+05,93.9,52449,13353,1407.8,9399.5,237.1,17.7,8015,6016.6,3213.6,8693.3,6.5,22382,5.9,23.3,2.5494e+07,8.7208e+05,36246,82,225,19,78.3,4.7896e+05,5.7417e+06,3490.4,4.3256e+05,2.459e+07,907.8,40.1,2.0775e+05,38.4,74.4,38496,13.3,25.7,566.8,18352,225.1,41.3,17.4,10040,115.8,26.8,34,85366,4280.6,0
30.1,176.7,1573.6,21.2,417,1774,2.5,119.2,332.2,7.6,289,2048.8,5194.9,17008,1.4,3519.8,12950,6797.4,19874,38318,1.0643e+06,1.3523e+05,54394,45778,61.1,85357,79724,69.2,5911.5,652.3,12.4,3329.8,5953.4,2492.2,746.6,6.5,4124.2,32.6,148.8,6.6206e+06,5.771e+05,21538,32.9,185.3,20.5,1087.6,2.1136e+05,4.4144e+06,6725.2,1.5311e+05,2.4562e+07,1150.8,49.9,89774,58.8,0.7,23508,12.5,37.6,414.7,21314,44.3,2.9,1.7,7635.2,35.1,130.8,11.7,34549,2998.1,0
19.8,292.9,1146.5,15.9,344.4,1477.2,4.9,33.1,169.1,9,302.6,3505.5,5135.5,25501,21.7,4602.2,11512,6522.2,3387.4,44049,1.2273e+06,1.6525e+05,4.9974e+05,1.021e+05,724.1,26701,9638,1916,5582.8,328.4,4.5,3390.1,4353.6,2112.1,9422,8,19002,6,45.8,9.4247e+06,9.9829e+05,18434,99.6,341.9,22.2,5740.6,1.0007e+06,6.4886e+06,6219.3,4.691e+05,1.2781e+07,822.8,150,1.1936e+05,20,1.1,52869,5.7,13.5,562.6,52516,227.5,12.2,3.1,9150.5,90.1,8.4,11.3,77563,4040.8,0
49.4,261,1989.8,8.6,367,1548.5,3.1,74.8,1039,6,312.8,2449.1,3447,18303,57.8,1512.9,9186,11801,7813.9,54643,1.0237e+06,1.3186e+05,59786,89129,147.2,14097,6832.4,1348.5,4787,6.8,24.4,9897.7,3059.6,1671,3694.7,7.6,4325.2,15.9,43.5,1.3506e+07,6.1444e+05,30007,74.6,229.2,23,3690.1,7.733e+05,5.4686e+06,4632.5,1.59e+05,4.8167e+06,1014.7,34.1,39632,75.1,3.1,28736,56.9,138,414.4,12695,50.4,1.6,1.9,7487,55,43.4,3.8,47529,3162.3,0
2067.9,3907.5,9243.9,5.9,816.7,5929.6,14.6,56.8,6774.2,12.2,914.7,3411.8,7578.5,17582,610.7,9274.1,43695,36228,15316,71948,1.2772e+06,1.9103e+05,99605,70392,794.5,24265,18999,4810.5,11219,29.5,122.4,5.0495e+05,1957,7689.4,5074,6.8,31958,181,48.7,4.4072e+06,9.9476e+05,8165.6,119.2,443.7,33.7,8156,8.8896e+05,4.5279e+06,7011.1,2.5495e+05,9.2369e+06,1431,30.3,98668,105.7,1563,24925,797.9,1221.1,628.4,1.5897e+05,73.1,3.1,2.3,5991.9,101.3,38.1,20.1,67589,3494.4,1
49.4,202.5,1382.5,6.5,319.3,1297,2.6,146.5,480.8,6.3,334.2,2121.1,3399.4,14250,4.4,4334,13209,13310,7665.4,41616,1.6493e+06,1.2271e+05,2.3463e+05,49980,307.9,7258.3,2192.9,904.7,8747.1,201.2,30.5,2846,1844.5,3289.4,7201.7,8.9,3551.7,22.5,42.6,1.0127e+07,7.8835e+05,24532,69.7,274.5,24,11902,8.2608e+05,5.3213e+06,7789.6,2.477e+05,1.3918e+07,843.1,57.5,1.4518e+05,83.5,1.4,17537,41.7,117.1,512.2,12100,58.4,3.3,3.3,7868,14.5,114.3,5.2,75634,3755.3,0
40.3,421.1,2045.9,18.6,207,1312,5.2,60.8,495.7,14.4,434.2,1698.8,6704.7,19224,26.7,3311.7,9544.8,6052.6,34956,52601,9.5038e+05,1.4629e+05,2.4171e+05,40328,549,1.1964e+05,29644,3947.6,10900,5538,13.2,4166.8,1801.1,2623.7,18535,6.5,51968,22.2,68.9,7.0404e+06,6.8783e+05,31233,78,225,20.5,3230.6,1.1147e+06,4.7367e+06,6883.1,3.1841e+05,1.4589e+07,1940.7,93.9,2.4413e+05,68.3,112.8,28712,25.6,25.7,675,6887.8,164.2,23.7,60.4,5760.2,187.1,24.6,25.5,57391,2531.9,0
25.2,143.4,1264.5,1.5,336.7,1542.2,4.7,70.4,238.2,5.2,337.2,2707.7,6665.1,17928,9.6,7648.3,10390,8613.4,15229,18240,1.2096e+06,1.401e+05,1.0235e+05,63815,15.9,5136.7,10587,4456,11474,57.3,7.8,1605.8,2292.9,1934.9,4896.6,7.7,3077.7,5,19.2,5.0988e+06,6.6069e+05,11652,22.7,201.4,20.5,7123.9,3.3834e+05,6.1533e+06,8423.7,2.2221e+05,1.6032e+07,1540.6,20.7,1.6621e+05,25.2,2.3,26827,7.4,17.1,485.5,7181.5,90.8,23.5,34.7,11874,157.9,142.3,22.6,71777,5883.2,0
